;Year;Month;Day;H;M;S;Lat;Lon;Depth;K;Mag;Energy E, MJ(megajoul).
;838;0;0;0;0;0;40,4;71,8;20;13,5;5,3;3,162
;914;0;0;0;0;0;40;64;20;15;6,3;100,000
;942;0;0;0;0;0;39,5;64;20;16,1;7,0;1258,925
;1175;0;0;0;0;0;37,5;65,5;20;16,8;7,5;6309,573
;1208;0;0;0;0;0;42;60;20;15;6,3;100,000
;1390;0;0;0;0;0;39,5;64;20;15;6,3;100,000
;1490;0;0;0;0;0;39,4;67,1;20;14,4;5,9;25,119
;1494;0;0;0;0;0;41;71,6;20;13,2;5,1;1,585
;1620;0;0;0;0;0;40,9;71,4;20;14,4;5,9;25,119
;1799;0;0;0;0;0;39,4;67,19;20;14,8;6,1;63,096
;1817;0;0;0;0;0;39,4;67,1;20;13,5;5,3;3,162
;1821;0;0;0;0;0;39,5;64,5;20;15,5;6,6;316,228
;1821;0;0;0;0;0;39,5;64;20;15,5;6,6;316,228
;1822;0;0;0;0;0;40,3;71,5;20;15,2;6,4;158,489
;1823;0;0;0;0;0;40,3;71,5;20;15,2;6,4;158,489
;1865;0;0;0;0;0;42,7;73,19;20;15,5;6,6;316,228
;1868;0;0;0;0;0;41,2;69,6;20;15,7;6,7;501,187
;1869;0;0;0;0;0;39,8;69,5;20;13,9;5,5;7,943
;1880;0;0;0;0;0;39,4;67,3;20;13,2;5,1;1,585
;1883;0;0;0;0;0;40,59;72,8;20;13,9;5,5;7,943
;1886;0;0;0;0;0;41,4;69,5;20;16,1;7,0;1258,925
;1888;0;0;0;0;0;42,8;73,3;20;12,6;4,8;0,398
;1888;0;0;0;0;0;40;69,8;20;15,3;6,5;199,526
;1891;0;0;0;0;0;41,3;69,3;20;11,2;4,0;0,016
;1892;0;0;0;0;0;40,7;66,5;20;15;6,3;100,000
;1893;0;0;0;0;0;39,5;69,4;20;14,6;6,0;39,811
;1894;0;0;0;0;0;41;71,19;20;13;5,0;1,000
;1895;0;0;0;0;0;40;73;20;14,8;6,1;63,096
;1896;0;0;0;0;0;41,5;70,9;20;15,9;6,9;794,328
;1896;0;0;0;0;0;37;68;20;13,4;5,2;2,512
;1896;0;0;0;0;0;39,59;73,6;20;14,1;5,7;12,589
;1897;0;0;0;0;0;39,8;68,4;20;15,9;6,9;794,328
;1897;0;0;0;0;0;39,9;68;20;16,1;7,0;1258,925
;1901;0;0;0;0;0;37,8;66,19;20;12,3;4,6;0,200
;1902;0;0;0;0;0;40;71;20;14,4;5,9;25,119
;1902;0;0;0;0;0;39,5;68,5;20;14,8;6,1;63,096
;1902;0;0;0;0;0;38,5;67;20;15,2;6,4;158,489
;1902;0;0;0;0;0;37,8;65,5;20;12,8;4,9;0,631
;1902;0;0;0;0;0;40,8;72,3;20;15,5;6,6;316,228
;1903;0;0;0;0;0;40,8;72,69;20;15;6,3;100,000
;1905;0;0;0;0;0;40,09;67,9;20;11,6;4,2;0,040
;1906;0;0;0;0;0;40;66,5;20;11,9;4,4;0,079
;1906;0;0;0;0;0;37,2;67,3;20;14,3;5,8;19,953
;1907;0;0;0;0;0;40,3;72,5;20;14,4;5,9;25,119
;1907;0;0;0;0;0;40,3;72,5;20;13,9;5,5;7,943
;1907;0;0;0;0;0;38,5;67,9;20;17,3;7,8;19952,623
;1907;0;0;0;0;0;38,7;68,1;20;17,1;7,7;12589,254
;1907;0;0;0;0;0;37,8;65,8;20;15;6,3;100,000
;1907;0;0;0;0;0;38,8;68,4;20;15,2;6,4;158,489
;1907;0;0;0;0;0;38,5;66,5;20;14,4;5,9;25,119
;1908;0;0;0;0;0;42,8;71,3;20;13,5;5,3;3,162
;1908;0;0;0;0;0;40,9;71;20;13,7;5,4;5,012
;1912;0;0;0;0;0;41;71,69;20;13,4;5,2;2,512
;1912;0;0;0;0;0;40,8;70;20;13,4;5,2;2,512
;1913;0;0;0;0;0;40,4;71,8;20;12,6;4,8;0,398
;1913;0;0;0;0;0;41;71,5;20;12,6;4,8;0,398
;1914;0;0;0;0;0;40,3;71,8;20;13,7;5,4;5,012
