Year;Month;Day;Lat;Lon;Depth;Mag
838;0;0;40,40;71,80;20;5,3
914;0;0;40,00;64,00;20;6,3
942;0;0;39,50;64,00;20;7,0
1175;0;0;37,50;65,50;20;7,5
1208;0;0;42,00;60,00;20;6,3
1390;0;0;39,50;64,00;20;6,3
1490;0;0;39,40;67,10;20;5,9
1494;0;0;41,00;71,60;20;5,1
1620;0;0;40,90;71,40;20;5,9
1799;0;0;39,40;67,19;20;6,1
1817;0;0;39,40;67,10;20;5,3
1821;0;0;39,50;64,50;20;6,6
1821;0;0;39,50;64,00;20;6,6
1822;0;0;40,30;71,50;20;6,4
1823;0;0;40,30;71,50;20;6,4
1865;0;0;42,70;73,19;20;6,6
1868;0;0;41,20;69,60;20;6,7
1869;0;0;39,80;69,50;20;5,5
1880;0;0;39,40;67,30;20;5,1
1883;0;0;40,59;72,80;20;5,5
1886;0;0;41,40;69,50;20;7,0
1888;0;0;42,80;73,30;20;4,8
1888;0;0;40,00;69,80;20;6,5
1891;0;0;41,30;69,30;20;4,0
1892;0;0;40,70;66,50;20;6,3
1893;0;0;39,50;69,40;20;6,0
1894;0;0;41,00;71,19;20;5,0
1895;0;0;40,00;73,00;20;6,1
1896;0;0;41,50;70,90;20;6,9
1896;0;0;37,00;68,00;20;5,2
1896;0;0;39,59;73,60;20;5,7
1897;0;0;39,80;68,40;20;6,9
1897;0;0;39,90;68,00;20;7,0
1901;0;0;37,80;66,19;20;4,6
1902;0;0;40,00;71,00;20;5,9
1902;0;0;39,50;68,50;20;6,1
1902;0;0;38,50;67,00;20;6,4
1902;0;0;37,80;65,50;20;4,9
1902;0;0;40,80;72,30;20;6,6
1903;0;0;40,80;72,69;20;6,3
1905;0;0;40,09;67,90;20;4,2
1906;0;0;40,00;66,50;20;4,4
1906;0;0;37,20;67,30;20;5,8
1907;0;0;40,30;72,50;20;5,9
1907;0;0;40,30;72,50;20;5,5
1907;0;0;38,50;67,90;20;7,8
1907;0;0;38,70;68,10;20;7,7
1907;0;0;37,80;65,80;20;6,3
1907;0;0;38,80;68,40;20;6,4
1907;0;0;38,50;66,50;20;5,9
1908;0;0;42,80;71,30;20;5,3
1908;0;0;40,90;71,00;20;5,4
1912;0;0;41,00;71,69;20;5,2
1912;0;0;40,80;70,00;20;5,2
1913;0;0;40,40;71,80;20;4,8
1913;0;0;41,00;71,50;20;4,8
1914;0;0;40,30;71,80;20;5,4
1914;0;0;40,70;73,10;20;5,1
1915;0;0;39,20;67,80;20;5,8
1915;0;0;40,00;71,30;20;4,9
1917;0;0;42,50;68,80;20;5,0
1920;0;0;41,50;71,00;20;5,7
1923;0;0;39,50;72,00;20;5,7
1923;0;0;39,59;69,19;20;6,6
1924;0;0;41,00;70,50;20;5,0
1924;0;0;41,30;69,19;20;4,3
1924;0;0;40,50;73,10;20;6,6
1924;0;0;40,59;73,19;20;6,7
1925;0;0;40,30;62,00;20;5,2
1926;0;0;39,40;67,19;20;4,5
1926;0;0;40,20;69,50;20;4,8
1926;0;0;37,70;66,10;20;4,4
1926;0;0;40,59;69,50;20;5,4
1926;0;0;39,50;72,00;20;5,3
1926;0;0;40,90;73,10;20;5,3
1927;0;0;41,50;70,80;20;5,2
1927;0;0;41,00;71,60;20;6,1
1927;0;0;41,00;71,60;20;5,5
1927;0;0;41,00;71,60;20;4,8
1928;0;0;39,00;67,00;20;5,3
1928;0;0;42,00;72,30;20;5,2
1928;0;0;39,40;67,19;20;5,4
1928;0;0;41,80;72,90;20;5,5
1928;0;0;39,59;67,10;20;4,6
1928;0;0;41,50;73,60;20;5,0
